packName,packLevel,sex,count,coatColor
Mollie's,Adult,Female,1,Gray
Mollie's,Adult,Female,1,Black
Mollie's,Adult,Female,1,Black
Mollie's,Adult,Male,1,Black
Mollie's,Adult,Male,1,Gray
Mollie's,Adult,Unknown,1,Black
Mollie's,Adult,Unknown,1,Black
Mollie's,Adult,Unknown,1,Black
Mollie's,Adult,Unknown,1,Black
Mollie's,Adult,Unknown,1,Black
Mollie's,Adult,Unknown,1,Gray
Mollie's,Adult,Unknown,1,Gray
Mollie's,Adult,Unknown,1,Gray
Mollie's,Adult,Unknown,1,Black
Mollie's,Yearling,Unknown,1,Black
Mollie's,Yearling,Unknown,1,Black
Mollie's,Yearling,Unknown,1,Black
Mollie's,Yearling,Unknown,1,Black
Cougar Creek,Adult,Female,1,Black
Cougar Creek,Adult,Male,1,Black
Cougar Creek,Adult,Unknown,1,Gray
Cougar Creek,Adult,Unknown,1,Black
Cougar Creek,Yearling,Unknown,1,Black
Cougar Creek,Yearling,Unknown,1,Black
Wapiti Lake,Adult,Female,1,Gray
Wapiti Lake,Adult,Male,1,Black
Wapiti Lake,Adult,Male,1,Black
Wapiti Lake,Adult,Male,1,Black
Wapiti Lake,Adult,Female,1,Gray
Wapiti Lake,Yearling,Unknown,1,Gray
Wapiti Lake,Yearling,Unknown,1,Gray
Wapiti Lake,Yearling,Female,1,Gray
Wapiti Lake,Yearling,Female,1,Black
Prospect Peak,Adult,Male,1,Gray
Prospect Peak,Adult,Male,1,Gray
Prospect Peak,Adult,Female,1,Gray
Prospect Peak,Adult,Female,1,Gray
Prospect Peak,Adult,Female,1,Ivory
Junction Butte-A,Adult,Female,1,Gray
Junction Butte-A,Adult,Male,1,Black
Junction Butte-A,Adult,Male,1,Black
Junction Butte-A,Adult,Male,1,Black
Junction Butte-A,Adult,Female,1,Gray
Junction Butte-A,Yearling,Unknown,1,Gray
Junction Butte-A,Yearling,Unknown,1,Black
Junction Butte-B,Adult,Female,1,Gray
Junction Butte-B,Adult,Male,1,Graying with Age
Junction Butte-B,Adult,Female,1,Gray
Canyon,Adult,Female,1,Gray
Canyon,Adult,Unknown,1,Gray
Canyon,Adult,Unknown,1,Black
Canyon,Yearling,Unknown,1,Gray
Snake River,Adult,Male,1,Black
Snake River,Adult,Female,1,Black
Snake River,Adult,Unknown,1,Unknown
Snake River,Adult,Unknown,1,Unknown
Snake River,Adult,Unknown,1,Unknown
Snake River,Adult,Unknown,1,Unknown
Snake River,Adult,Unknown,1,Unknown
Snake River,Adult,Unknown,1,Unknown
Snake River,Adult,Unknown,1,Unknown
Snake River,Adult,Unknown,1,Unknown
Snake River,Adult,Unknown,1,Unknown
Snake River,Adult,Unknown,1,Unknown
Snake River,Adult,Unknown,1,Unknown
Snake River,Adult,Male,1,Black
Cinnabar,Adult,Male,1,Black
Cinnabar,Adult,Female,1,Gray
Cinnabar,Adult,Male,1,Black
Eight Mile,Adult,Female,1,Black
Eight Mile,Adult,Male,1,Black
Eight Mile,Adult,Male,1,Black
Eight Mile,Adult,Male,1,Black
Eight Mile,Adult,Female,1,Black
Eight Mile,Adult,Unknown,1,Black
Eight Mile,Adult,Unknown,1,Black
Eight Mile,Adult,Female,1,Gray
Eight Mile,Yearling,Unknown,1,Black
Eight Mile,Yearling,Unknown,1,Black
Eight Mile,Yearling,Unknown,1,Black
Eight Mile,Yearling,Unknown,1,Black
Eight Mile,Yearling,Female,1,Gray
Eight Mile,Yearling,Unknown,1,Gray
Eight Mile,Yearling,Unknown,1,Gray
Eight Mile,Yearling,Unknown,1,Black
Lamar Valley,Adult,Female,1,Black
Lamar Valley,Adult,Male,1,Black
Lamar Valley,Adult,Female,1,Black
Lamar Valley,Adult,Male,1,Black
